,sign,Domain,Phylum,Class,Order,Family,Genus,Species
OTU173,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,uncl_Hypocreaceae,uncl_Hypocreaceae
OTU443,Specialists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU236,Generalists,Fungi,Basidiomycota,Agaricomycetes,Agaricales,uncl_Agaricales,uncl_Agaricales,uncl_Agaricales
OTU1,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU713,Specialists,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,Septobasidium,uncl_Septobasidium
OTU156,Specialists,Fungi,Basidiomycota,Agaricomycetes,uncl_Agaricomycetes,uncl_Agaricomycetes,uncl_Agaricomycetes,uncl_Agaricomycetes
OTU827,Specialists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU107,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU561,Generalists,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,uncl_Diaporthaceae,uncl_Diaporthaceae
OTU1561,Specialists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,uncl_Lindgomycetaceae,uncl_Lindgomycetaceae
OTU1273,Specialists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU3638,NS,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,uncl_Cladophialophora
OTU1894,Specialists,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU67,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,uncl_Fusarium
OTU6679,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,uncl_Fusarium
OTU2407,NS,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales
OTU102,Generalists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,uncl_Pleosporales,uncl_Pleosporales,uncl_Pleosporales
OTU75,Generalists,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU5,Generalists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,uncl_Periconia
OTU12,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,uncl_Fusarium
OTU7,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,uncl_Fusarium
OTU11151,NS,Fungi,Ascomycota,Leotiomycetes,uncl_Leotiomycetes,uncl_Leotiomycetes,uncl_Leotiomycetes,uncl_Leotiomycetes
OTU749,Generalists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,uncl_Lophiostoma
OTU5362,NS,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,uncl_Coprinellus
OTU2,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU877,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU12011,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU2034,Specialists,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,uncl_Lycoperdaceae,uncl_Lycoperdaceae
OTU24,Generalists,Fungi,Ascomycota,Sordariomycetes,Xylariales,uncl_Xylariales,uncl_Xylariales,uncl_Xylariales
OTU187,Generalists,Fungi,Ascomycota,Sordariomycetes,Diaporthales,uncl_Diaporthales,uncl_Diaporthales,uncl_Diaporthales
OTU205,Generalists,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,uncl_Strophariaceae,uncl_Strophariaceae
OTU25,Generalists,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU3509,Specialists,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU2160,NS,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella_chinensis
OTU48,Generalists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,uncl_Pleosporales,uncl_Pleosporales,uncl_Pleosporales
OTU1224,Specialists,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,uncl_Auriculariales,uncl_Auriculariales,uncl_Auriculariales
OTU1529,Generalists,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,uncl_Glomeraceae,uncl_Glomeraceae
OTU2316,Generalists,Fungi,Mucoromycota,Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes,uncl_Glomeromycetes
OTU4094,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU423,Generalists,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Talaromyces,uncl_Talaromyces
OTU526,Generalists,Fungi,Ascomycota,Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes,uncl_Eurotiomycetes
OTU1509,Generalists,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,uncl_Periconia
OTU135,Generalists,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Talaromyces,uncl_Talaromyces
OTU689,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU50,Generalists,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,uncl_Lachnum
OTU1500,Specialists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,uncl_Hypocreales,uncl_Hypocreales,uncl_Hypocreales
OTU3018,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,uncl_Hypocreaceae,uncl_Hypocreaceae
OTU91,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_polyphialidicum
OTU742,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU367,NS,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,uncl_Pleosporaceae,uncl_Pleosporaceae
OTU5051,Specialists,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU463,Specialists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,uncl_Hypocreales,uncl_Hypocreales,uncl_Hypocreales
OTU100,Specialists,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,uncl_Marasmiaceae,uncl_Marasmiaceae
OTU13116,Generalists,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU177,Generalists,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU403,NS,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales,uncl_Chaetothyriales
OTU7288,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU225,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_persicinum
OTU12774,Generalists,Fungi,Basidiomycota,Agaricomycetes,Agaricales,uncl_Agaricales,uncl_Agaricales,uncl_Agaricales
OTU1854,NS,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU4008,Generalists,Fungi,Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota,uncl_Ascomycota
OTU53,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,uncl_Nectriaceae,uncl_Nectriaceae
OTU233,Specialists,Fungi,Ascomycota,Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes,uncl_Sordariomycetes
OTU146,Generalists,Fungi,Ascomycota,Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes,uncl_Dothideomycetes
OTU3757,Generalists,Fungi,Ascomycota,Sordariomycetes,Sordariales,uncl_Sordariales,uncl_Sordariales,uncl_Sordariales
OTU76,Generalists,Fungi,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,uncl_Myrmecridium
OTU721,NS,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,uncl_Septobasidiaceae,uncl_Septobasidiaceae
OTU12137,Generalists,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,uncl_Fusarium
OTU7911,NS,Fungi,Basidiomycota,uncl_Basidiomycota,uncl_Basidiomycota,uncl_Basidiomycota,uncl_Basidiomycota,uncl_Basidiomycota
OTU715,Generalists,Fungi,Ascomycota,Leotiomycetes,Helotiales,uncl_Helotiales,uncl_Helotiales,uncl_Helotiales
